,index,0,1,2,3,4,color
0,18-24,-1.0536811581779628,-0.518192903817853,1.8377973805850079,0.5024164064237374,0.23997359391397802,Age
1,25-34,-0.2772840757551849,0.09263997446049242,0.2344741752774997,-0.4385067746678251,0.28065205434830215,Age
2,35-44,0.3387048824943951,0.006464043923711954,-0.3596836276221574,0.14281244008441907,-0.030515171539637932,Age
3,45-54,0.3239538927099629,-0.2052668196217968,-0.3401081662336569,0.6572986428390033,-0.7560714213403682,Age
4,55-64,0.15320995634102805,-0.0015997092253760695,-0.16405159243137493,1.1513914558937903,-1.0784187553297186,Age
5,65 or over,0.11774747226466868,-0.06758942567847824,-0.5959848547343761,1.7182121078291006,0.05093710347487415,Age
6,under 18,-0.9935762739312958,0.33559974796481545,2.6329563868480133,9.151927867911214,4.840875562219872,Age
7,High School,0.10098640346071852,-0.976693240869852,0.9968170697500782,2.3265129211202424,-0.40389931230986875,Diploma
8,Some college,0.0028168184069912268,-0.5567329713029033,0.7501359482749774,1.6357723021776769,-0.6830605664861416,Diploma
9,College degree,-0.17327590165998552,-0.28532432955666204,0.44381146802532323,-0.4373940455444277,-0.05509728792410821,Diploma
10,Master's degree,-0.17620139298285278,0.21057719683870646,-0.8022493360291337,-0.04353293308872665,0.029734443965089105,Diploma
11,PhD,0.4373370135371536,-0.038340961164733324,-1.7087071065999953,0.9837342842075347,1.219756173877791,Diploma
12,"Professional degree (MD, JD, etc.)",2.3860141567267465,2.763713561966433,1.1703809302003094,0.13288014454806182,0.23572104060871885,Diploma
13,Man,0.8462334545360427,-1.112597314942403,0.09145943391680919,0.05376495479131999,0.27638534022209055,Gender
14,Woman,-0.16963706683732294,0.26570722627254256,-0.05676582374066401,-0.03346830691523812,-0.1437900993820164,Gender
15,Non-binary,-0.8681326243971758,-0.21734101965354782,1.0290698249450727,0.34643624880259194,2.399221709755749,Gender
16,Prefer not to answer,0.2060434240294621,-0.009037258000052385,-0.026644795781329403,0.4691354052690977,-0.23131130990566642,Gender
17,Advertising,-0.46469700858488483,-0.07093832179755769,0.5075220342628539,-1.5031506081426924,-0.14376192081631228,Industry
18,Agriculture & Food,-0.5158811691509625,-0.21816221196635363,0.3292601257541034,0.7804707255549241,1.0151379507417493,Industry
19,Banking & Insurance,-0.0861254846276206,-0.14847161323150124,0.3882964092077961,0.103001879074086,-1.1108262640924538,Industry
20,Construction,-0.49089453061946264,-0.25620773258434704,0.8244339025086598,1.2101182609754453,-1.4876792901398013,Industry
21,Consulting,0.08273219518281705,-0.07674023619327629,-0.09533536975610514,-0.9162449234427298,-0.1819940484579087,Industry
22,Culture,-0.6924771111603282,0.07750544252023628,0.3233344724476277,-0.3291473048960456,0.5739941300006882,Industry
23,Ecology & Environment,-0.8720115142437331,-0.11848865712262614,0.2794227691836148,0.25410819205934465,0.5406865508049893,Industry
24,Education,-0.564692605926007,0.4925742235413955,-1.2446634556749228,0.7680292572450446,0.9554631775344534,Industry
25,Energy,0.870647609072379,-0.411323504095838,-0.603927012992511,-0.0204592538717924,-0.6683005133723308,Industry
26,Health,0.05847033064928043,0.4227136425353242,0.10129295972994329,0.573145137714003,-0.597076096156859,Industry
27,Human Ressources,-0.6245286978097453,0.11821530495314984,0.5150596466095305,-0.9298010549176314,-0.6994863668354893,Industry
28,Industry,0.08661965065740161,-0.4486190935065484,-0.11539596398684614,-0.45248032676929406,-0.7919863262725854,Industry
29,Law,2.312789436280902,3.0092865536406386,1.5681574955081314,0.10250355336925099,0.5350999811587551,Industry
30,Non profit Organization,-0.7286545715439637,0.41295386964193564,-0.12897510755395647,-0.4467947899447807,0.3504511222574669,Industry
31,Other,-0.46506202717981593,0.05464299683604968,0.1467017406123637,0.5064828106664747,-0.03183351247177166,Industry
32,Public & Government,-0.052758281461875105,0.3644279445673332,-0.7579730418467546,0.0938183964934871,-0.8229226438650513,Industry
33,Retail,-0.7667035288430433,-0.447981978507814,1.7772534729474918,2.3838928055698294,-0.045183097645072154,Industry
34,Security & Defense,-0.8443485413061332,-0.26747519671345793,1.6061549587224264,0.8498043093782285,-0.38070810203514593,Industry
35,Social,-1.4111111941777141,0.7880160862551577,-0.28730142768966493,-0.2923026306340595,1.1397155318939927,Industry
36,Technology & Science,0.8611813826951572,-1.1317937347534675,0.03815442590622948,-0.2149006508460563,0.5703270848023655,Industry
37,Unidentified,-0.3555807975518395,-0.3060119599174068,0.6563058165077487,-0.37875402170512823,-0.2794402484349248,Industry
38,high,1.118948944154332,-0.4047433826166652,-0.06180291672042895,-0.07839225993499672,0.28789656562488664,Salary Category
39,medium high,0.1105192526177282,0.04789204629012088,-0.3525164595824086,-0.23909781215679904,-0.7370391711578368,Salary Category
40,medium low,-0.43707853945300845,0.26203182881188214,-0.15233542477365336,-0.2987187656951497,-0.006764341781932049,Salary Category
41,low,-0.783996793130293,0.09169351742431893,0.5632652435693667,0.6166415711105834,0.4446282780479303,Salary Category
