country;costs_idx;avg_annual_wage;avg_month_wage_;purchasing_power_idx
Bermuda;167.5;108094.8;8189;169.8
Switzerland;149.9;79569.6;6028;139.6
Cayman Islands;146.6;61630.8;4669;110.6
Israel;132.4;41025.6;3108;81.5
Turks and Caicos Islands;132.4;29726.4;2252;59
Barbados;129.2;13820.4;1047;28.1
New Caledonia;129;15734.4;1192;32.1
Iceland;126.6;60112.8;4554;124.9
Denmark;123.9;60680.4;4597;128.8
Ireland;123.8;63201.6;4788;134.3
Norway;120.3;75398.4;5712;164.8
Luxembourg;116.9;77866.8;5899;175.2
Bahamas;116.4;25106.4;1902;56.7
Australia;114.9;51704.4;3917;118.4
Japan;113.4;38874;2945;90.2
Finland;112.1;47942.4;3632;112.5
New Zealand;111.7;40009.2;3031;94.2
Sweden;109;52047.6;3943;125.6
United Kingdom;106.6;38359.2;2906;94.6
USA;106.3;62145.6;4708;153.8
Canada;104.9;41976;3180;105.2
Netherlands;102.4;49170;3725;126.3
Lebanon;102.3;5174.4;392;13.3
Belgium;100.7;44061.6;3338;115
France;100;38016;2880;100
Germany;94.5;45711.6;3463;127.2
Italy;89.6;31099.2;2356;91.3
South Korea;87.4;31746;2405;95.6
Spain;86.2;26347.2;1996;80.4
Hong Kong;85.6;46833.6;3548;143.9
Macau;79.9;74368.8;5634;244.9
Singapore;79.6;52892.4;4007;174.9
Portugal;79;20988;1590;69.8
Greece;78;17265.6;1308;58.2
Qatar;77.6;53922;4085;182.7
United Arab Emirates;76.9;37950;2875;129.8
Czech Republic;68;21252;1610;82.2
China;65.1;10164;770;41
Costa Rica;65.1;11101.2;841;44.9
Guatemala;63.7;4329.6;328;17.8
Maldives;63.1;6256.8;474;26.1
Chile;63;12975.6;983;54.1
Gabon;60.7;6771.6;513;29.3
Ecuador;57.7;5319.6;403;24.3
Equatorial Guinea;57.3;5596.8;424;25.7
Haiti;54.8;1267.2;96;6.1
Albania;53.4;5016;380;24.7
Mexico;53.2;8170.8;619;40.4
Montenegro;53;7603.2;576;37.8
Poland;52.9;14678.4;1112;73
Brunei;52.2;30346.8;2299;152.9
Brazil;50.4;7563.6;573;39.4
Romania;49;12117.6;918;65
Saudi Arabia;48;21120;1600;115.8
Dominican Republic;47.4;6996;530;38.8
Fiji;47.2;4712.4;357;26.2
Iraq;47;4501.2;341;25.2
Morocco;46.8;2904;220;16.3
Namibia;46.6;4329.6;328;24.5
Kenya;45.7;1768.8;134;10.2
Northern Macedonia;45;5544;420;32.3
South Africa;45;5781.6;438;33.8
Guinea;44.8;976.8;74;5.8
East Timor;44.5;1914;145;11.3
Togo;44.1;884.4;67;5.3
Colombia;44;5570.4;422;33.3
Cameroon;44;1465.2;111;8.7
Philippines;43.6;3300;250;19.9
Ivory Coast;43.4;2191.2;166;13.3
Senegal;43.2;1372.8;104;8.4
Thailand;43.2;6784.8;514;41.3
Kosovo;42.6;4316.4;327;26.6
Moldova;41.6;4395.6;333;27.7
Malaysia;41.6;10177.2;771;64.4
Bangladesh;41.2;1953.6;148;12.5
Paraguay;41;4989.6;378;32
Eswatini;40.7;3286.8;249;21.2
Bolivia;40;3062.4;232;20.1
Cambodia;39.5;1438.8;109;9.6
Turkey;39.3;8712;660;58.4
Russia;39.2;10296;780;69.1
Benin;39;1227.6;93;8.3
Nicaragua;38.6;1782;135;12.1
Laos;38.6;2428.8;184;16.5
Indonesia;38.1;3722.4;282;25.7
Nigeria;37.6;1927.2;146;13.5
Vietnam;37.2;2547.6;193;18.1
Mongolia;37.1;3603.6;273;25.5
Lesotho;37.1;1056;80;7.5
Tanzania;36.3;1042.8;79;7.5
Uganda;36.2;765.6;58;5.6
Armenia;36.2;4065.6;308;29.5
Kazakhstan;36.2;8382;635;60.9
Gambia;35.7;726;55;5.3
Mali;35.1;805.2;61;6
Rwanda;35;752.4;57;5.6
Burkina Faso;34.7;739.2;56;5.6
Sri Lanka;33.8;3577.2;271;27.9
Georgia;33.8;4118.4;312;32
Myanmar;33.6;1293.6;98;10.2
Algeria;33;3432;260;27.4
Ethiopia;32.6;858;65;6.9
Ukraine;32.1;3432;260;28.2
Zambia;31.4;1122;85;9.3
Tunisia;31.1;3181.2;241;26.9
Azerbaijan;31.1;4316.4;327;36.5
Bhutan;31;2732.4;207;23.2
Ghana;30.8;2257.2;171;19.2
India;30.4;1848;140;16
Nepal;29.9;1148.4;87;10.1
Egypt;28.4;2890.8;219;26.7
Kyrgyzstan;27.5;1122;85;10.7
Tajikistan;26.7;1016.4;77;10.1
Pakistan;26.4;1227.6;93;12.2
Angola;26.3;2059.2;156;20.6
Afghanistan;23.7;475.2;36;5.3
